N = 51;
K = 4;
capacity = [1000,1000,1000,1000];
nodeInfo = [
<0,0,1000,0>
<7,143,282,10>
<26,34,209,10>
<9,404,481,10>
<16,577,632,10>
<19,228,345,10>
<20,32,243,10>
<8,175,300,10>
<19,272,373,10>
<17,269,378,10>
<9,581,666,10>
<11,214,331,10>
<18,409,494,10>
<29,206,325,10>
<6,817,956,0>
<16,114,255,10>
<9,190,313,10>
<21,259,354,10>
<27,152,275,10>
<11,45,200,10>
<8,606,693,10>
<16,302,405,10>
<31,33,224,10>
<9,360,437,10>
<7,620,705,10>
<18,233,340,10>
<16,29,189,10>
<27,85,250,10>
<36,773,906,10>
<30,501,540,10>
<13,547,642,10>
<9,174,299,10>
<28,17,229,10>
<20,49,188,10>
<25,592,693,10>
<36,637,752,10>
<6,162,293,10>
<9,308,399,10>
<8,681,802,10>
<18,236,345,10>
<13,290,373,10>
<6,839,968,10>
<16,162,289,10>
<11,96,249,10>
<7,436,511,0>
<26,420,447,10>
<9,279,388,10>
<2,18,181,10>
<22,811,969,10>
<27,436,503,10>
<20,92,231,10>
<10,183,306,10>
<-7,31,208,10>
<-26,331,410,10>
<-9,377,434,10>
<-16,788,968,10>
<-19,268,367,10>
<-20,333,432,10>
<-8,612,673,10>
<-19,849,980,10>
<-17,163,302,10>
<-9,707,848,10>
<-11,585,692,10>
<-18,620,739,10>
<-29,396,511,10>
<-6,817,956,10>
<-16,388,465,10>
<-9,411,456,10>
<-21,527,584,10>
<-27,384,499,10>
<-11,34,191,10>
<-8,798,965,10>
<-16,607,690,10>
<-31,294,401,10>
<-9,414,489,10>
<-7,690,827,10>
<-18,388,465,10>
<-16,214,333,10>
<-27,41,208,10>
<-36,721,862,10>
<-30,733,870,10>
<-13,660,777,10>
<-9,104,255,10>
<-28,415,514,10>
<-20,348,453,10>
<-25,686,813,10>
<-36,704,847,10>
<-6,400,497,10>
<-9,641,734,10>
<-8,678,801,10>
<-18,421,530,10>
<-13,529,614,10>
<-6,817,952,10>
<-16,206,325,10>
<-11,392,487,10>
<-7,436,511,10>
<-26,588,667,10>
<-9,515,628,10>
<-2,25,172,10>
<-22,755,920,10>
<-27,739,866,10>
<-20,376,461,10>
<-10,290,377,10>
<0,0,1000,0>
];
X = [35,35,15,10,30,50,15,30,10,15,45,45,45,55,65,41,64,40,31,53,20,5,60,40,23,11,6,8,13,6,47,27,21,62,49,56,37,44,46,49,49,56,15,14,11,28,26,22,18,26,25,19,47,20,20,37,57,20,25,36,24,41,53,63,42,65,57,55,55,61,27,18,22,67,37,30,4,15,2,17,5,35,35,25,49,63,65,55,57,55,32,65,53,20,31,11,45,2,24,26,15,16,12,35];
Y = [35,17,30,43,60,35,10,5,20,60,65,20,10,5,20,37,42,60,52,52,20,5,12,25,3,14,38,56,52,68,47,43,24,77,73,39,47,17,13,11,42,37,47,37,31,18,52,22,24,27,24,21,16,50,40,56,68,26,21,26,58,49,12,23,7,20,48,54,45,52,69,18,27,5,31,25,18,77,60,34,30,69,40,30,58,65,35,60,29,20,12,55,43,65,67,31,30,48,12,35,19,22,24,35];
membership = [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];
alpha = 1.0;
beta = 1.0;
