Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      23.706000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.449000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.881000      0              
lr110          15.000000      1404.290945    1388.632584    15.658360      23.686000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      23.401000      0              
avg            15.800000      1402.800156    1387.141795    15.658360      23.024000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       30.008000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       29.498000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       30.031000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       32.343000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.706000      0              
avg            13.000000      1304.919804    1298.408141    6.511663       29.917000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      141.012000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      141.213000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      140.530000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      143.391000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      137.499000     0              
avg            19.000000      4261.756804    4208.294461    53.462344      140.729000     0              
LR1_2_7        15.000000      3219.414243    3138.950933    80.463310      287.859000     0              
LR1_2_7        15.000000      3218.292016    3137.828705    80.463310      257.181000     0              
LR1_2_7        15.000000      3217.140310    3125.287661    91.852649      259.200000     0              
LR1_2_7        15.000000      3217.724240    3126.589914    91.134326      241.952000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     249.545000     0              
avg            14.800000      3225.192041    3120.690056    104.501985     259.147000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      116.304000     0              
lr202          6.000000       1392.908710    1376.782800    16.125910      107.451000     0              
lr202          6.000000       1389.703573    1373.577663    16.125910      114.935000     0              
lr202          6.000000       1394.043053    1377.917143    16.125910      104.437000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      102.661000     0              
avg            5.800000       1391.612576    1372.674636    18.937939      109.157000     0              
lr203          5.000000       1164.670503    1160.103462    4.567041       115.257000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      242.209000     0              
lr203          4.000000       1174.793309    1152.153944    22.639366      158.679000     0              
lr203          4.000000       1178.311133    1173.744092    4.567041       140.242000     0              
lr203          4.000000       1142.128131    1123.742323    18.385808      249.954000     0              
avg            4.200000       1160.089250    1146.380237    13.709013      181.268000     0              
