Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      23.989000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      29.420000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      24.209000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      22.829000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.882000      0              
avg            16.000000      1403.080545    1387.422185    15.658360      24.665000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       30.502000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       29.678000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       30.347000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       29.504000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       30.050000      0              
avg            13.000000      1304.919804    1298.408141    6.511663       30.016000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      138.066000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      132.274000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      134.270000     0              
LR1_2_2        19.000000      4284.210856    4221.175170    63.035686      133.190000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      128.469000     0              
avg            19.000000      4266.247615    4210.870603    55.377012      133.253000     0              
LR1_2_7        15.000000      3216.941890    3130.081994    86.859896      255.746000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     271.287000     0              
LR1_2_7        15.000000      3218.130360    3144.452400    73.677960      257.353000     0              
LR1_2_7        15.000000      3219.156172    3138.545380    80.610792      270.110000     0              
LR1_2_7        14.000000      3248.809079    3101.440901    147.368178     260.182000     0              
avg            14.600000      3231.285379    3117.862748    113.422631     262.935000     0              
lr202          5.000000       1411.463865    1395.526927    15.936938      97.426000      0              
lr202          6.000000       1393.046586    1369.922011    23.124574      108.297000     0              
lr202          5.000000       1398.569803    1375.413819    23.155984      118.224000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      110.182000     0              
lr202          6.000000       1388.833714    1368.424384    20.409330      119.184000     0              
avg            5.400000       1397.189256    1376.032694    21.156562      110.662000     0              
lr203          5.000000       1164.670503    1160.103462    4.567041       125.550000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      246.104000     0              
lr203          4.000000       1164.186196    1146.549763    17.636433      189.526000     0              
lr203          4.000000       1196.843400    1192.276358    4.567041       165.832000     0              
lr203          4.000000       1144.573330    1122.369855    22.203475      241.632000     0              
avg            4.200000       1162.163321    1148.691361    13.471960      193.728000     0              
