Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1405.692891    1390.034531    15.658360      22.426000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      21.378000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      21.810000      0              
lr110          15.000000      1403.407088    1371.826609    31.580479      22.440000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      22.197000      0              
avg            15.800000      1405.235731    1386.392947    18.842784      22.050000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       28.140000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       28.951000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.303000      0              
lr111          13.000000      1310.644349    1277.866737    32.777612      27.766000      0              
lr111          14.000000      1309.381858    1288.356739    21.025119      28.711000      0              
avg            13.200000      1306.957124    1292.289580    14.667544      28.174000      0              
LR1_2_2        19.000000      4267.843982    4211.477669    56.366313      132.897000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      132.175000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      131.277000     0              
LR1_2_2        19.000000      4270.916433    4214.550120    56.366313      134.014000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      129.055000     0              
avg            19.000000      4265.470943    4209.104630    56.366313      131.883000     0              
LR1_2_7        15.000000      3222.639698    3103.826899    118.812799     237.790000     0              
LR1_2_7        15.000000      3222.607112    3103.646831    118.960280     236.625000     0              
LR1_2_7        15.000000      3223.014474    3113.755183    109.259291     236.110000     0              
LR1_2_7        14.000000      3274.836107    3154.583422    120.252685     243.793000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     234.880000     0              
avg            14.800000      3233.061265    3115.812197    117.249067     237.839000     0              
lr202          5.000000       1399.703672    1376.579098    23.124574      100.549000     0              
lr202          6.000000       1396.897036    1380.802536    16.094500      100.443000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      105.567000     0              
lr202          6.000000       1389.703573    1373.577663    16.125910      107.341000     0              
lr202          6.000000       1416.607123    1409.693894    6.913229       97.271000      0              
avg            5.600000       1399.388744    1382.305904    17.082839      102.234000     0              
lr203          4.000000       1144.207007    1125.821199    18.385808      213.702000     0              
lr203          5.000000       1155.388981    1137.752547    17.636433      153.093000     0              
lr203          4.000000       1143.970514    1125.584706    18.385808      220.982000     0              
lr203          5.000000       1202.267844    1198.450177    3.817667       112.700000     0              
lr203          4.000000       1148.285857    1125.361563    22.924294      207.986000     0              
avg            4.400000       1158.824040    1142.594039    16.230002      181.692000     0              
