Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      22.901000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.358000      0              
lr110          16.000000      1403.216413    1388.369805    14.846608      21.987000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.779000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.155000      0              
avg            16.000000      1402.585249    1387.089239    15.496010      22.436000      0              
lr111          14.000000      1309.291140    1287.278043    22.013097      28.584000      0              
lr111          13.000000      1309.145606    1302.020784    7.124823       27.313000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.119000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       28.661000      0              
lr111          14.000000      1309.291140    1287.278043    22.013097      27.157000      0              
avg            13.400000      1307.513499    1294.678630    12.834869      27.566000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      138.650000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      136.036000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      140.928000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      145.801000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      138.016000     0              
avg            19.000000      4261.978397    4207.935259    54.043138      139.886000     0              
LR1_2_7        14.000000      3249.519487    3103.121335    146.398152     265.496000     0              
LR1_2_7        15.000000      3219.043072    3132.035694    87.007378      258.062000     0              
LR1_2_7        14.000000      3251.737639    3091.529484    160.208155     259.539000     0              
LR1_2_7        14.000000      3246.777751    3089.708584    157.069167     255.424000     0              
LR1_2_7        15.000000      3214.428052    3123.293726    91.134326      265.516000     0              
avg            14.400000      3236.301200    3107.937765    128.363436     260.807000     0              
lr202          6.000000       1393.795802    1377.669892    16.125910      100.630000     0              
lr202          6.000000       1389.945352    1366.789368    23.155984      115.183000     0              
lr202          6.000000       1387.702332    1364.546348    23.155984      93.309000      0              
lr202          5.000000       1394.032315    1370.876331    23.155984      106.259000     0              
lr202          5.000000       1393.016071    1386.134251    6.881820       94.598000      0              
avg            5.600000       1391.698374    1373.203238    18.495136      101.995000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      222.915000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      218.440000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      219.212000     0              
lr203          5.000000       1191.116839    1163.218527    27.898313      145.534000     0              
lr203          4.000000       1145.409765    1127.023957    18.385808      225.592000     0              
avg            4.200000       1151.683528    1131.395219    20.288309      206.338000     0              
