Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      22.992000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.901000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      21.316000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.010000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.491000      0              
avg            16.000000      1403.080545    1387.422185    15.658360      21.742000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.210000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.191000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.200000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.162000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.403000      0              
avg            13.000000      1304.919804    1298.408141    6.511663       26.833000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      121.523000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      130.962000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      128.211000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      127.710000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      127.681000     0              
avg            19.000000      4261.756804    4208.294461    53.462344      127.217000     0              
LR1_2_7        15.000000      3220.573507    3139.244392    81.329115      246.473000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     249.689000     0              
LR1_2_7        15.000000      3214.802828    3133.222011    81.580817      244.185000     0              
LR1_2_7        15.000000      3218.683660    3127.401853    91.281807      252.065000     0              
LR1_2_7        14.000000      3270.215046    3196.161031    74.054015      260.435000     0              
avg            14.800000      3229.201240    3140.990295    88.210945      250.569000     0              
lr202          5.000000       1394.286099    1371.130115    23.155984      106.167000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      93.344000      0              
lr202          5.000000       1394.032315    1370.876331    23.155984      108.219000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      105.953000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      108.289000     0              
avg            5.400000       1391.420237    1368.264253    23.155984      104.394000     0              
lr203          4.000000       1140.532323    1122.146515    18.385808      259.919000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      224.587000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      251.570000     0              
lr203          5.000000       1155.388981    1137.752547    17.636433      186.919000     0              
lr203          5.000000       1164.670503    1160.103462    4.567041       138.916000     0              
avg            4.400000       1148.504749    1133.032570    15.472180      212.382000     0           
