Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      20.941000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.839000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.217000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.644000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.820000      0              
avg            16.000000      1402.427458    1386.769098    15.658360      20.692000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.870000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.007000      0              
lr111          14.000000      1309.291140    1287.278043    22.013097      26.815000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.892000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.150000      0              
avg            13.200000      1305.794071    1296.182121    9.611950       26.346000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      128.270000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      127.206000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      125.501000     0              
LR1_2_2        19.000000      4267.843982    4211.477669    56.366313      128.759000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      124.618000     0              
avg            19.000000      4263.195832    4208.571901    54.623931      126.870000     0              
LR1_2_7        15.000000      3246.050177    3149.537227    96.512950      249.043000     0              
LR1_2_7        15.000000      3221.695735    3140.366620    81.329115      253.720000     0              
LR1_2_7        14.000000      3252.233895    3099.439157    152.794738     308.760000     0              
LR1_2_7        14.000000      3246.277364    3089.208197    157.069167     334.294000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     344.841000     0              
avg            14.600000      3237.597666    3117.494678    120.102988     298.131000     0              
lr202          6.000000       1392.828630    1387.558388    5.270242       131.794000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      125.589000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      127.309000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      129.341000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      142.153000     0              
avg            5.200000       1393.791578    1374.212742    19.578835      131.237000     0              
lr203          4.000000       1157.910689    1157.910689    0.000000       227.025000     0              
lr203          4.000000       1141.110304    1122.724497    18.385808      242.254000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      216.269000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      265.206000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      268.034000     0              
avg            4.000000       1144.637459    1129.928812    14.708646      243.757000     0              
