Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      20.881000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.983000      0              
lr110          16.000000      1403.216413    1388.369805    14.846608      20.554000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.601000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.480000      0              
avg            16.000000      1402.585249    1387.089239    15.496010      20.699000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.803000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.107000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.071000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.781000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.721000      0              
avg            13.000000      1304.919804    1298.408141    6.511663       25.896000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      127.941000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      129.412000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      130.754000     0              
LR1_2_2        19.000000      4284.210856    4221.175170    63.035686      129.671000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      126.075000     0              
avg            19.000000      4266.247615    4210.870603    55.377012      128.770000     0              
LR1_2_7        15.000000      3218.292016    3137.828705    80.463310      244.641000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     248.258000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     242.023000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     244.934000     0              
LR1_2_7        15.000000      3231.302096    3123.012830    108.289265     242.794000     0              
avg            15.000000      3223.053072    3116.386912    106.666160     244.530000     0              
lr202          6.000000       1397.254116    1381.128206    16.125910      103.264000     0              
lr202          6.000000       1391.894507    1386.624265    5.270242       102.871000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      107.981000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      91.552000      0              
lr202          5.000000       1394.032315    1370.876331    23.155984      110.362000     0              
avg            5.800000       1391.586279    1373.413458    18.172821      103.206000     0              
lr203          5.000000       1170.780309    1146.699663    24.080646      118.003000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      214.333000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      204.126000     0              
lr203          4.000000       1142.730947    1120.527472    22.203475      198.129000     0              
lr203          5.000000       1164.043682    1158.087121    5.956561       172.522000     0              
avg            4.400000       1151.780560    1133.978100    17.802459      181.422000     0              
