Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1404.434889    1382.420979    22.013910      20.327000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.913000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.581000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.360000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.719000      0              
avg            16.000000      1402.828945    1385.899474    16.929470      20.580000      0              
lr111          13.000000      1309.145606    1302.020784    7.124823       26.482000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.194000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.085000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.158000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.659000      0              
avg            13.000000      1305.764964    1299.130669    6.634295       26.115000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      128.609000     0              
LR1_2_2        19.000000      4276.461231    4216.674318    59.786912      127.124000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      129.078000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      127.105000     0              
LR1_2_2        19.000000      4281.504056    4221.717144    59.786912      130.391000     0              
avg            19.000000      4268.647140    4212.654969    55.992171      128.461000     0              
LR1_2_7        15.000000      3222.161925    3109.500435    112.661490     247.327000     0              
LR1_2_7        15.000000      3222.000270    3116.124130    105.876140     244.513000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     244.276000     0              
LR1_2_7        15.000000      3213.519512    3128.389014    85.130498      244.754000     0              
LR1_2_7        15.000000      3215.119513    3123.837706    91.281807      242.574000     0              
avg            14.800000      3225.238123    3110.528870    114.709253     244.688000     0              
lr202          5.000000       1393.723974    1386.842154    6.881820       102.437000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      101.951000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      103.047000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      102.698000     0              
lr202          6.000000       1393.072439    1380.772123    12.300316      102.066000     0              
avg            5.400000       1392.447254    1374.717236    17.730017      102.439000     0              
lr203          5.000000       1168.183232    1163.616191    4.567041       119.415000     0              
lr203          5.000000       1155.388981    1137.752547    17.636433      147.314000     0              
lr203          4.000000       1143.255678    1124.869870    18.385808      198.081000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      211.422000     0              
lr203          5.000000       1155.388981    1137.752547    17.636433      146.962000     0              
avg            4.600000       1152.578160    1137.255856    15.322305      164.638000     0              
