Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      20.417000      0              
lr110          15.000000      1405.134245    1374.365518    30.768727      20.989000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      20.791000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.961000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.407000      0              
avg            15.800000      1403.621902    1384.941469    18.680434      20.913000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.352000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.001000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.867000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.158000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.247000      0              
avg            13.000000      1304.919804    1298.408141    6.511663       26.325000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      129.488000     0              
LR1_2_2        19.000000      4266.736020    4213.273676    53.462344      133.735000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      129.150000     0              
LR1_2_2        19.000000      4289.190072    4226.154386    63.035686      134.357000     0              
LR1_2_2        19.000000      4283.804811    4220.611891    63.192920      129.206000     0              
avg            19.000000      4272.648902    4215.325775    57.323127      131.187000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     247.477000     0              
LR1_2_7        15.000000      3239.679138    3123.258132    116.421006     249.368000     0              
LR1_2_7        14.000000      3245.177750    3094.259892    150.917858     247.186000     0              
LR1_2_7        14.000000      3245.655523    3088.586356    157.069167     246.085000     0              
LR1_2_7        14.000000      3253.867169    3069.119529    184.747641     253.764000     0              
avg            14.200000      3247.553795    3090.003395    157.550401     248.776000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      105.319000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      103.320000     0              
lr202          5.000000       1394.994432    1371.838448    23.155984      101.160000     0              
lr202          6.000000       1394.464631    1389.194389    5.270242       94.581000      0              
lr202          6.000000       1393.751290    1370.595306    23.155984      104.855000     0              
avg            5.400000       1394.254997    1374.676161    19.578835      101.847000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      209.486000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      210.158000     0              
lr203          4.000000       1152.597024    1130.393549    22.203475      189.102000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      210.697000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      206.907000     0              
avg            4.000000       1143.149214    1123.999873    19.149341      205.270000     0              
