Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          15.000000      1404.555508    1380.654045    23.901463      20.714000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.230000      0              
lr110          16.000000      1403.216413    1388.369805    14.846608      20.936000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.763000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.822000      0              
avg            15.800000      1403.010859    1385.866229    17.144630      20.693000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.147000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.954000      0              
lr111          13.000000      1306.457312    1303.489903    2.967409       25.800000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.029000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.270000      0              
avg            13.000000      1305.227306    1299.424493    5.802812       26.040000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      132.971000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      130.268000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      129.376000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      134.804000     0              
LR1_2_2        19.000000      4281.440446    4221.653534    59.786912      133.074000     0              
avg            19.000000      4265.915125    4210.607074    55.308051      132.098000     0              
LR1_2_7        15.000000      3237.008365    3119.183526    117.824840     247.395000     0              
LR1_2_7        15.000000      3237.158848    3128.870076    108.288772     246.924000     0              
LR1_2_7        15.000000      3242.125690    3133.265583    108.860107     246.142000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     246.534000     0              
LR1_2_7        14.000000      3253.867169    3069.119529    184.747641     246.467000     0              
avg            14.600000      3244.709894    3105.046356    139.663538     246.692000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      108.011000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      104.314000     0              
lr202          5.000000       1394.359419    1371.203435    23.155984      97.145000      0              
lr202          6.000000       1391.425949    1368.269965    23.155984      105.187000     0              
lr202          5.000000       1397.977795    1374.821811    23.155984      98.807000      0              
avg            5.400000       1393.034141    1369.878157    23.155984      102.692000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      259.444000     0              
lr203          5.000000       1160.473513    1155.919452    4.554060       196.942000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      249.425000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      251.465000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      231.355000     0              
avg            4.200000       1144.867479    1129.248020    15.619458      237.726000     0               
