Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      21.440000      0              
lr110          15.000000      1405.366285    1382.125905    23.240380      21.011000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.277000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.539000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.783000      0              
avg            15.800000      1403.015224    1385.840459    17.174764      20.810000      0              
lr111          13.000000      1309.145606    1302.020784    7.124823       26.155000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.261000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.120000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.972000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.162000      0              
avg            13.000000      1305.764964    1299.130669    6.634295       26.134000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      131.104000     0              
LR1_2_2        19.000000      4270.916433    4214.550120    56.366313      131.396000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      129.981000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      130.235000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      130.529000     0              
avg            19.000000      4263.588730    4209.545593    54.043138      130.649000     0              
LR1_2_7        14.000000      3253.867169    3069.119529    184.747641     248.306000     0              
LR1_2_7        15.000000      3243.879905    3171.306127    72.573778      248.206000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     247.006000     0              
LR1_2_7        15.000000      3247.472172    3140.465830    107.006343     251.456000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     246.148000     0              
avg            14.400000      3250.399608    3106.095523    144.304085     248.224000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      104.008000     0              
lr202          5.000000       1396.668569    1380.542659    16.125910      102.987000     0              
lr202          5.000000       1393.016071    1386.134251    6.881820       92.777000      0              
lr202          6.000000       1393.578511    1370.453936    23.124574      102.305000     0              
lr202          5.000000       1396.033556    1379.907646    16.125910      102.657000     0              
avg            5.400000       1393.334387    1376.251547    17.082839      100.946000     0              
lr203          5.000000       1158.659551    1154.105491    4.554060       161.821000     0              
lr203          5.000000       1195.464247    1172.824882    22.639366      123.294000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      208.989000     0              
lr203          4.000000       1143.340721    1115.442408    27.898313      222.882000     0              
lr203          4.000000       1156.454104    1131.338839    25.115265      189.327000     0              
avg            4.400000       1159.061478    1139.342916    19.718562      181.262000     0              
