Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      21.001000      0              
lr110          16.000000      1403.216413    1388.369805    14.846608      24.326000      0              
lr110          16.000000      1406.481845    1391.635237    14.846608      23.590000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      24.201000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      34.509000      0              
avg            16.000000      1403.396127    1388.062467    15.333659      25.525000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       29.815000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.868000      0              
lr111          14.000000      1309.490863    1287.477766    22.013097      30.317000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.541000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.006000      0              
avg            13.200000      1305.834016    1296.222066    9.611950       28.509000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      133.964000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      130.646000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      134.892000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      138.525000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      133.612000     0              
avg            19.000000      4261.978397    4207.935259    54.043138      134.327000     0              
LR1_2_7        15.000000      3219.981196    3139.370405    80.610792      268.329000     0              
LR1_2_7        15.000000      3215.550280    3124.415954    91.134326      275.734000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     283.140000     0              
LR1_2_7        15.000000      3218.292016    3137.828705    80.463310      263.264000     0              
LR1_2_7        14.000000      3274.830356    3154.577671    120.252685     287.892000     0              
avg            14.600000      3236.408649    3126.197160    110.211489     275.671000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      127.576000     0              
lr202          6.000000       1389.376469    1373.250559    16.125910      120.110000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      122.424000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      127.993000     0              
lr202          6.000000       1392.965848    1369.809864    23.155984      116.309000     0              
avg            5.800000       1390.225018    1368.475048    21.749969      122.882000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      216.953000     0              
lr203          4.000000       1157.910689    1157.910689    0.000000       218.328000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      237.655000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      238.291000     0              
lr203          5.000000       1155.388981    1137.752547    17.636433      158.997000     0              
avg            4.200000       1147.011990    1132.453218    14.558771      214.044000     0              
