Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      23.364000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      24.538000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.064000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.159000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      23.764000      0              
avg            16.000000      1402.427458    1386.769098    15.658360      23.177000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       28.517000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       30.109000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       30.190000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       28.139000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       29.357000      0              
avg            13.000000      1304.919804    1298.408141    6.511663       29.262000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      145.079000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      143.142000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      140.857000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      139.355000     0              
LR1_2_2        19.000000      4265.937218    4209.570904    56.366313      140.009000     0              
avg            19.000000      4262.592887    4208.549749    54.043138      141.688000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     274.537000     0              
LR1_2_7        14.000000      3251.737639    3091.529484    160.208155     280.138000     0              
LR1_2_7        15.000000      3215.388896    3128.381518    87.007378      259.391000     0              
LR1_2_7        15.000000      3216.554242    3130.128153    86.426089      259.046000     0              
LR1_2_7        15.000000      3231.342698    3116.656847    114.685851     308.678000     0              
avg            14.600000      3233.682574    3108.297813    125.384761     276.358000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      110.285000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      125.676000     0              
lr202          6.000000       1392.198306    1371.788976    20.409330      122.543000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      127.880000     0              
lr202          5.000000       1399.703672    1376.579098    23.124574      102.198000     0              
avg            5.200000       1394.799785    1372.199413    22.600371      117.716000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      245.322000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      246.385000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      216.082000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      228.023000     0              
lr203          4.000000       1178.311133    1173.744092    4.567041       143.706000     0              
avg            4.000000       1148.487305    1132.865251    15.622055      215.903000     0              
