Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1403.645935    1380.820273    22.825663      22.655000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.442000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.869000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.146000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.902000      0              
avg            16.000000      1402.671154    1385.579333    17.091821      22.202000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       28.391000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       29.452000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.873000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       28.960000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.988000      0              
avg            13.000000      1304.919804    1298.408141    6.511663       28.532000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      145.280000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      142.402000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      142.334000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      138.064000     0              
LR1_2_2        19.000000      4284.210856    4221.175170    63.035686      141.672000     0              
avg            19.000000      4266.247615    4210.870603    55.377012      141.950000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     260.682000     0              
LR1_2_7        14.000000      3253.389396    3074.793065    178.596332     267.709000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     268.418000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     249.715000     0              
LR1_2_7        15.000000      3216.709543    3124.709413    92.000131      247.881000     0              
avg            14.600000      3233.485685    3097.293276    136.192409     258.881000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      109.803000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      119.949000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      109.801000     0              
lr202          6.000000       1391.894507    1386.624265    5.270242       111.259000     0              
lr202          5.000000       1394.667328    1371.511344    23.155984      116.102000     0              
avg            5.400000       1392.400338    1372.821503    19.578835      113.382000     0              
lr203          4.000000       1196.843400    1192.276358    4.567041       155.963000     0              
lr203          5.000000       1155.388981    1137.752547    17.636433      153.106000     0              
lr203          5.000000       1164.047673    1153.049401    10.998273      121.577000     0              
lr203          5.000000       1163.275788    1157.972353    5.303435       148.859000     0              
lr203          4.000000       1143.846739    1125.460931    18.385808      227.545000     0              
avg            4.600000       1164.680516    1153.302318    11.378198      161.410000     0              
