Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      21.393000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.679000      0              
lr110          15.000000      1404.290945    1388.632584    15.658360      21.449000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      21.442000      0              
lr110          16.000000      1403.216413    1388.369805    14.846608      21.814000      0              
avg            15.800000      1402.957947    1387.461937    15.496010      21.555000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.057000      0              
lr111          13.000000      1306.891810    1296.087973    10.803837      26.601000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.966000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.716000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.930000      0              
avg            13.000000      1305.314205    1297.944107    7.370098       26.854000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      136.545000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      132.733000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      141.113000     0              
LR1_2_2        19.000000      4281.440446    4221.653534    59.786912      140.885000     0              
LR1_2_2        19.000000      4287.283308    4224.247621    63.035686      152.266000     0              
avg            19.000000      4270.798833    4214.156907    56.641926      140.708000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     262.106000     0              
LR1_2_7        14.000000      3271.177351    3157.615290    113.562060     268.503000     0              
LR1_2_7        14.000000      3253.867169    3069.119529    184.747641     272.748000     0              
LR1_2_7        15.000000      3215.748699    3119.621621    96.127078      263.118000     0              
LR1_2_7        15.000000      3229.413276    3107.314007    122.099269     270.031000     0              
avg            14.600000      3238.387531    3112.518527    125.869004     267.301000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      123.629000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      120.596000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      120.032000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      116.695000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      105.620000     0              
avg            5.000000       1394.032315    1370.876331    23.155984      117.314000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      269.809000     0              
lr203          4.000000       1141.413183    1119.209708    22.203475      237.977000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      257.531000     0              
lr203          4.000000       1157.910689    1157.910689    0.000000       203.175000     0              
lr203          4.000000       1157.910689    1157.910689    0.000000       219.641000     0              
avg            4.000000       1148.002419    1136.207401    11.795018      237.626000     0              
