Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      22.578000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      24.073000      0              
lr110          16.000000      1404.154615    1389.308007    14.846608      23.664000      0              
lr110          16.000000      1402.692022    1378.790559    23.901463      22.415000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      22.831000      0              
avg            16.000000      1402.825802    1385.681172    17.144630      23.112000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       41.602000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       37.424000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       38.159000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       28.198000      0              
lr111          13.000000      1306.891810    1296.087973    10.803837      28.958000      0              
avg            13.000000      1305.314205    1297.944107    7.370098       34.868000      0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      150.029000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      144.387000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      143.856000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      141.907000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      135.735000     0              
avg            19.000000      4262.199989    4207.576058    54.623931      143.182000     0              
LR1_2_7        15.000000      3219.110213    3129.902148    89.208065      272.194000     0              
LR1_2_7        15.000000      3240.543392    3138.552917    101.990475     267.266000     0              
LR1_2_7        14.000000      3253.867169    3069.119529    184.747641     273.699000     0              
LR1_2_7        15.000000      3220.209262    3139.598471    80.610792      279.607000     0              
LR1_2_7        15.000000      3220.516506    3135.682249    84.834257      276.783000     0              
avg            14.800000      3230.849309    3122.571063    108.278246     273.909000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      114.033000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      119.147000     0              
lr202          6.000000       1389.630253    1373.504343    16.125910      123.767000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      111.262000     0              
lr202          5.000000       1393.016071    1386.134251    6.881820       106.079000     0              
avg            5.200000       1392.948654    1374.453517    18.495136      114.857000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      242.156000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      235.074000     0              
lr203          4.000000       1143.970514    1125.584706    18.385808      240.904000     0              
lr203          4.000000       1178.311133    1173.744092    4.567041       152.627000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      238.838000     0              
avg            4.000000       1149.003655    1133.381600    15.622055      221.919000     0              
