Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      20.761000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.741000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.939000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.607000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      21.857000      0              
avg            16.000000      1403.080545    1387.422185    15.658360      20.981000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.630000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.815000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.249000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       27.320000      0              
lr111          14.000000      1309.291140    1287.278043    22.013097      28.525000      0              
avg            13.200000      1305.794071    1296.182121    9.611950       27.107000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      142.990000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      145.376000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      142.268000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      144.915000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      139.530000     0              
avg            19.000000      4261.978397    4207.935259    54.043138      143.015000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     264.328000     0              
LR1_2_7        15.000000      3213.950279    3128.967262    84.983017      284.710000     0              
LR1_2_7        15.000000      3220.036085    3139.572774    80.463310      279.707000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     259.485000     0              
LR1_2_7        14.000000      3252.651477    3102.869060    149.782417     252.331000     0              
avg            14.800000      3226.211141    3115.581280    110.629861     268.112000     0              
lr202          6.000000       1393.765382    1381.465066    12.300316      98.793000      0              
lr202          6.000000       1393.046586    1369.922011    23.124574      109.375000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      117.371000     0              
lr202          6.000000       1392.741061    1376.615151    16.125910      104.520000     0              
lr202          5.000000       1394.032315    1370.876331    23.155984      108.267000     0              
avg            5.800000       1392.192114    1372.619561    19.572554      107.665000     0              
lr203          4.000000       1147.716231    1119.817918    27.898313      187.913000     0              
lr203          4.000000       1141.315060    1117.234414    24.080646      222.072000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      220.867000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      219.676000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      223.077000     0              
avg            4.000000       1142.327432    1120.900156    21.427276      214.721000     0              
