Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1406.481845    1391.635237    14.846608      20.502000      0              
lr110          16.000000      1403.216413    1388.369805    14.846608      20.175000      0              
lr110          16.000000      1403.645935    1380.820273    22.825663      20.219000      0              
lr110          16.000000      1403.645935    1380.820273    22.825663      20.499000      0              
lr110          16.000000      1404.434889    1382.420979    22.013910      20.328000      0              
avg            16.000000      1404.285004    1384.813313    19.471690      20.344000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.799000      0              
lr111          13.000000      1306.257590    1303.290181    2.967409       25.604000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.584000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.676000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.800000      0              
avg            13.000000      1305.187361    1299.384549    5.802812       25.692000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      128.535000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      129.944000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      130.738000     0              
LR1_2_2        19.000000      4267.578617    4211.212303    56.366313      130.337000     0              
LR1_2_2        19.000000      4283.102894    4222.971178    60.131716      130.693000     0              
avg            19.000000      4267.411977    4211.454171    55.957806      130.049000     0              
LR1_2_7        14.000000      3245.655523    3088.586356    157.069167     245.485000     0              
LR1_2_7        14.000000      3252.457893    3095.387699    157.070194     245.752000     0              
LR1_2_7        15.000000      3230.836441    3108.737172    122.099269     245.153000     0              
LR1_2_7        15.000000      3238.875838    3116.205727    122.670111     244.925000     0              
LR1_2_7        14.000000      3259.949286    3072.062657    187.886629     245.051000     0              
avg            14.400000      3245.554996    3096.195922    149.359074     245.273000     0              
lr202          6.000000       1393.226235    1377.100325    16.125910      101.046000     0              
lr202          6.000000       1393.578511    1370.453936    23.124574      101.565000     0              
lr202          6.000000       1391.225678    1375.099768    16.125910      99.555000      0              
lr202          6.000000       1397.422120    1370.660924    26.761196      100.455000     0              
lr202          6.000000       1388.315765    1365.159782    23.155984      98.900000      0              
avg            6.000000       1392.753662    1371.694947    21.058715      100.304000     0              
lr203          4.000000       1145.872841    1117.974529    27.898313      191.916000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      194.959000     0              
lr203          4.000000       1150.102403    1130.050226    20.052177      175.507000     0              
lr203          4.000000       1152.021718    1129.818244    22.203475      168.979000     0              
lr203          4.000000       1142.160652    1118.080006    24.080646      198.447000     0              
avg            4.000000       1146.309276    1123.785193    22.524084      185.961000     0              
