Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr201          5.000000       3921.926569    1282.136498    75.517075      111.115000     0              
lr201          6.000000       3902.491711    1274.068251    80.286956      110.311000     0              
lr201          5.000000       3921.926569    1282.136498    75.517075      105.624000     0              
lr201          5.000000       3922.789937    1280.834327    80.286956      110.586000     0              
lr201          5.000000       3921.926569    1282.136498    75.517075      111.152000     0              
avg            5.200000       3918.212271    1280.262415    77.425027      109.757000     0              
lr202          5.000000       4030.704669    1291.286592    156.844893     146.163000     0              
lr202          5.000000       4030.704669    1291.286592    156.844893     143.529000     0              
lr202          5.000000       4030.704669    1291.286592    156.844893     143.586000     0              
lr202          5.000000       4030.704669    1291.286592    156.844893     147.656000     0              
lr202          5.000000       4030.490267    1294.807820    146.066808     142.493000     0              
avg            5.000000       4030.661788    1291.990838    154.689276     144.685000     0              
lr203          4.000000       3313.972981    1073.823339    92.502963      329.116000     0              
lr203          4.000000       3313.972981    1073.823339    92.502963      324.948000     0              
lr203          4.000000       3313.972981    1073.823339    92.502963      311.775000     0              
lr203          4.000000       3313.972981    1073.823339    92.502963      304.672000     0              
lr203          4.000000       3313.972981    1073.823339    92.502963      297.819000     0              
avg            4.000000       3313.972981    1073.823339    92.502963      313.666000     0              
lr204          4.000000       3285.792365    1081.086305    42.533451      167.987000     0              
lr204          4.000000       3285.792365    1081.086305    42.533451      168.717000     0              
lr204          4.000000       3285.792365    1081.086305    42.533451      165.845000     0              
lr204          4.000000       3285.792365    1081.086305    42.533451      168.703000     0              
lr204          4.000000       3285.792365    1081.086305    42.533451      169.456000     0              
avg            4.000000       3285.792365    1081.086305    42.533451      168.141000     0              
lr205          4.000000       3512.271428    1152.156331    55.802436      184.448000     0              
lr205          4.000000       3512.271428    1152.156331    55.802436      169.131000     0              
lr205          4.000000       3512.271428    1152.156331    55.802436      171.787000     0              
lr205          4.000000       3512.271428    1152.156331    55.802436      176.182000     0              
lr205          4.000000       3512.271428    1152.156331    55.802436      165.154000     0              
avg            4.000000       3512.271428    1152.156331    55.802436      173.340000     0              
lr206          4.000000       3608.021449    1167.159227    106.543769     201.336000     0              
lr206          5.000000       3546.802424    1154.851817    82.246973      150.064000     0              
lr206          4.000000       3676.895379    1196.388265    87.730585      178.905000     0              
lr206          4.000000       3669.882707    1194.050707    87.730585      168.272000     0              
lr206          4.000000       3669.882707    1194.050707    87.730585      154.528000     0              
avg            4.200000       3634.296933    1181.300145    90.396500      170.621000     0              
lr207          4.000000       3543.368383    1146.624052    103.496227     204.923000     0              
lr207          4.000000       3481.709122    1126.781619    101.364266     237.158000     0              
lr207          4.000000       3543.680166    1149.789632    94.311269      209.420000     0              
lr207          4.000000       3481.709122    1126.781619    101.364266     241.657000     0              
lr207          5.000000       3562.776773    1130.984240    169.824053     189.853000     0              
avg            4.200000       3522.648713    1136.192232    114.072016     216.602000     0              
lr208          4.000000       3179.105003    1051.688341    24.039979      181.673000     0              
lr208          4.000000       3156.756978    1039.965943    36.859149      204.614000     0              
lr208          4.000000       3156.756978    1039.965943    36.859149      197.384000     0              
lr208          4.000000       3156.756978    1039.965943    36.859149      192.035000     0              
lr208          4.000000       3156.756978    1039.965943    36.859149      203.653000     0              
avg            4.000000       3161.226583    1042.310423    34.295315      195.871000     0              
lr209          4.000000       3288.112499    1063.061203    98.928889      229.411000     0              
lr209          4.000000       3237.752514    1046.654025    97.790437      256.815000     0              
lr209          4.000000       3240.075877    1047.428480    97.790437      266.684000     0              
lr209          5.000000       3250.671189    1046.132743    112.272960     283.548000     0              
lr209          4.000000       3241.314882    1031.782772    145.966566     262.271000     0              
avg            4.200000       3251.585392    1047.011845    110.549858     259.745000     0              
lr210          4.000000       3201.948773    1046.762614    61.660930      179.688000     0              
lr210          4.000000       3201.948773    1046.762614    61.660930      179.423000     0              
lr210          4.000000       3201.948773    1046.762614    61.660930      180.289000     0              
lr210          4.000000       3201.948773    1046.762614    61.660930      181.038000     0              
lr210          4.000000       3201.948773    1046.762614    61.660930      181.647000     0              
avg            4.000000       3201.948773    1046.762614    61.660930      180.417000     0              
lr211          5.000000       3927.763050    1229.924426    237.989771     115.736000     0              
lr211          5.000000       3876.238823    1239.150918    158.786068     118.285000     0              
lr211          5.000000       3903.108419    1213.695589    262.021653     120.121000     0              
lr211          5.000000       3925.567581    1246.630381    185.676439     108.892000     0              
lr211          5.000000       3925.567581    1246.630381    185.676439     112.116000     0              
avg            5.000000       3911.649091    1235.206339    206.030074     115.030000     0              
