Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
LR1_2_1        20.000000      4853.492747    4829.253467    24.239280      90.724000      0              
LR1_2_1        20.000000      4853.492747    4829.253467    24.239280      88.058000      0              
LR1_2_1        20.000000      4853.492747    4829.253467    24.239280      96.331000      0              
LR1_2_1        20.000000      4853.492747    4829.253467    24.239280      81.970000      0              
LR1_2_1        20.000000      4853.492747    4829.253467    24.239280      85.197000      0              
avg            20.000000      4853.492747    4829.253467    24.239280      88.456000      0              
LR1_2_10       15.000000      3416.549153    3416.549153    0.000000       189.738000     0              
LR1_2_10       15.000000      3406.490837    3406.490837    0.000000       197.958000     0              
LR1_2_10       15.000000      3425.154530    3382.712085    42.442445      199.108000     0              
LR1_2_10       15.000000      3415.333783    3415.333783    0.000000       182.509000     0              
LR1_2_10       15.000000      3391.560405    3391.560405    0.000000       172.348000     0              
avg            15.000000      3411.017742    3402.529253    8.488489       188.332000     0              
LR1_2_2        20.000000      4370.656080    4331.994705    38.661375      119.632000     0              
LR1_2_2        20.000000      4387.505788    4346.464994    41.040793      121.202000     0              
LR1_2_2        20.000000      4370.656080    4331.994705    38.661375      119.385000     0              
LR1_2_2        20.000000      4373.728531    4335.067156    38.661375      134.113000     0              
LR1_2_2        20.000000      4370.656080    4331.994705    38.661375      134.927000     0              
avg            20.000000      4374.640512    4335.503253    39.137258      125.851000     0              
LR1_2_3        17.000000      3477.439732    3457.248568    20.191164      242.524000     0              
LR1_2_3        17.000000      3477.439732    3457.248568    20.191164      195.429000     0              
LR1_2_3        17.000000      3476.804186    3458.140274    18.663912      192.551000     0              
LR1_2_3        17.000000      3479.093640    3460.429729    18.663912      187.522000     0              
LR1_2_3        17.000000      3486.135567    3465.944403    20.191164      180.553000     0              
avg            17.000000      3479.382571    3459.802308    19.580263      199.715000     0              
LR1_2_4        12.000000      2992.765437    2942.689003    50.076434      280.612000     0              
LR1_2_4        12.000000      2986.172171    2952.926007    33.246164      294.431000     0              
LR1_2_4        12.000000      2992.765437    2942.689003    50.076434      280.052000     0              
LR1_2_4        12.000000      2992.765437    2942.689003    50.076434      277.900000     0              
LR1_2_4        12.000000      2986.172171    2952.926007    33.246164      286.048000     0              
avg            12.000000      2990.128130    2946.783804    43.344326      283.808000     0              
LR1_2_5        18.000000      4305.258409    4264.934912    40.323497      112.572000     0              
LR1_2_5        18.000000      4305.258409    4264.934912    40.323497      112.993000     0              
LR1_2_5        18.000000      4305.258409    4264.934912    40.323497      114.973000     0              
LR1_2_5        18.000000      4305.258409    4264.934912    40.323497      110.929000     0              
LR1_2_5        18.000000      4305.258409    4264.934912    40.323497      111.141000     0              
avg            18.000000      4305.258409    4264.934912    40.323497      112.521000     0              
LR1_2_6        18.000000      3941.295898    3897.700927    43.594971      152.899000     0              
LR1_2_6        17.000000      3958.313935    3882.052307    76.261627      154.918000     0              
LR1_2_6        18.000000      3904.103328    3866.912768    37.190560      150.371000     0              
LR1_2_6        18.000000      3935.906969    3898.716409    37.190560      156.756000     0              
LR1_2_6        18.000000      3904.279713    3867.089154    37.190560      154.118000     0              
avg            17.800000      3928.779969    3882.494313    46.285656      153.812000     0              
LR1_2_7        16.000000      3314.880876    3294.085369    20.795508      173.676000     0              
LR1_2_7        15.000000      3329.494108    3275.699724    53.794384      182.763000     0              
LR1_2_7        16.000000      3314.867288    3261.072904    53.794384      178.505000     0              
LR1_2_7        16.000000      3314.867288    3261.072904    53.794384      177.991000     0              
LR1_2_7        16.000000      3314.867288    3261.072904    53.794384      181.135000     0              
avg            15.800000      3317.795370    3270.600761    47.194609      178.814000     0              
LR1_2_8        11.000000      2640.062227    2584.120490    55.941737      341.140000     0              
LR1_2_8        11.000000      2654.564969    2598.623232    55.941737      349.322000     0              
LR1_2_8        11.000000      2640.897378    2584.955640    55.941737      344.842000     0              
LR1_2_8        11.000000      2640.062227    2584.120490    55.941737      360.739000     0              
LR1_2_8        11.000000      2654.721153    2631.100042    23.621111      350.713000     0              
avg            11.000000      2646.061591    2596.583979    49.477612      349.351000     0              
LR1_2_9        18.000000      4126.133122    4077.817054    48.316068      120.998000     0              
LR1_2_9        18.000000      4124.521236    4083.928970    40.592266      121.345000     0              
LR1_2_9        17.000000      4131.463317    4064.815061    66.648256      121.013000     0              
LR1_2_9        17.000000      4125.414579    4082.459299    42.955280      120.750000     0              
LR1_2_9        16.000000      4137.272821    4055.404940    81.867880      122.358000     0              
avg            17.200000      4128.961015    4072.885065    56.075950      121.292000     0              
Average Time: 180.1952
Fail percentage: 0
