Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          5.000000       557.224122     544.228390     12.995731      3.136000       0              
lr110          5.000000       557.224122     544.228390     12.995731      1.725000       0              
lr110          5.000000       557.224122     544.228390     12.995731      1.660000       0              
lr110          5.000000       557.224122     544.228390     12.995731      1.726000       0              
lr110          5.000000       557.224122     544.228390     12.995731      1.763000       0              
avg            5.000000       557.224122     544.228390     12.995731      2.002000       0              
lr111          6.000000       554.769693     554.769693     0.000000       1.810000       0              
lr111          6.000000       554.769693     554.769693     0.000000       2.162000       0              
lr111          6.000000       554.769693     554.769693     0.000000       2.074000       0              
lr111          6.000000       554.769693     554.769693     0.000000       2.108000       0              
lr111          6.000000       554.769693     554.769693     0.000000       1.865000       0              
avg            6.000000       554.769693     554.769693     0.000000       2.003000       0              
LR1_2_2        4.000000       949.364623     909.368398     39.996225      2.220000       0              
LR1_2_2        4.000000       949.364623     909.368398     39.996225      2.517000       0              
LR1_2_2        4.000000       949.364623     909.368398     39.996225      2.283000       0              
LR1_2_2        4.000000       949.364623     909.368398     39.996225      2.361000       0              
LR1_2_2        4.000000       949.364623     909.368398     39.996225      2.407000       0              
avg            4.000000       949.364623     909.368398     39.996225      2.357000       0              
LR1_2_7        4.000000       1049.695084    1043.278626    6.416458       3.900000       0              
LR1_2_7        4.000000       1049.695084    1043.278626    6.416458       3.897000       0              
LR1_2_7        4.000000       1049.695084    1043.278626    6.416458       3.412000       0              
LR1_2_7        4.000000       1049.695084    1043.278626    6.416458       3.709000       0              
LR1_2_7        4.000000       1049.695084    1043.278626    6.416458       3.922000       0              
avg            4.000000       1049.695084    1043.278626    6.416458       3.768000       0              
lr202          2.000000       611.232671     592.759655     18.473016      7.657000       0              
lr202          2.000000       611.232671     592.759655     18.473016      7.775000       0              
lr202          2.000000       611.232671     592.759655     18.473016      7.613000       0              
lr202          2.000000       611.232671     592.759655     18.473016      8.071000       0              
lr202          2.000000       611.232671     592.759655     18.473016      7.526000       0              
avg            2.000000       611.232671     592.759655     18.473016      7.728000       0              
lr203          3.000000       544.052000     544.052000     0.000000       4.665000       0              
lr203          3.000000       558.973231     558.973231     0.000000       5.326000       0              
lr203          2.000000       565.910987     565.910987     0.000000       4.132000       0              
lr203          3.000000       544.052000     544.052000     0.000000       4.272000       0              
lr203          3.000000       544.052000     544.052000     0.000000       4.665000       0              
avg            2.800000       551.408044     551.408044     0.000000       4.612000       0              
