Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          4.000000       354.713923     340.966213     13.747710      30.149000      0              
avg            4.000000       354.713923     340.966213     13.747710      30.149000      0              
lr111          0.000000       0.000000       0.000000       0.000000       0.000000       1              
avg            0.000000       0.000000       0.000000       0.000000       0.000000       1              
LR1_2_2        4.000000       1044.866851    917.506121     127.360730     30.097000      0              
avg            4.000000       1044.866851    917.506121     127.360730     30.097000      0              
LR1_2_7        3.000000       630.045079     630.045079     0.000000       30.070000      0              
avg            3.000000       630.045079     630.045079     0.000000       30.070000      0              
lr202          2.000000       1119.169387    507.860196     611.309192     30.097000      0              
avg            2.000000       1119.169387    507.860196     611.309192     30.097000      0              
lr203          4.000000       740.523029     740.523029     0.000000       30.076000      0              
avg            4.000000       740.523029     740.523029     0.000000       30.076000      0              
