Test Case      Vehicle        Objective      Distance       Penalty        Time           Fail Num
lc101          10.000000      828.936867     828.936867     0.000000       4.110000       0
lc102          10.000000      828.936867     828.936867     0.000000       5.092000       0
lc103          10.000000      827.864699     827.864699     0.000000       6.352000       0
lc104          10.000000      828.873628     828.873628     0.000000       9.143000       0
lc105          10.000000      828.936867     828.936867     0.000000       4.135000       0
lc106          10.000000      828.936867     828.936867     0.000000       4.440000       0
lc107          10.000000      828.936867     828.936867     0.000000       4.280000       0
lc108          10.000000      826.439205     826.439205     0.000000       4.820000       0
lc109          10.000000      827.816613     827.816613     0.000000       6.522000       0
lc201          3.000000       591.556557     591.556557     0.000000       16.134000      0
lc202          3.333333       615.946156     615.946156     0.000000       22.076000      0
lc203          3.000000       642.255276     642.255276     0.000000       33.157000      0
lc204          3.666667       665.159270     665.159270     0.000000       37.696000      0
lc205          3.333333       597.804889     597.804889     0.000000       19.481000      0
lc206          3.000000       588.492849     588.492849     0.000000       25.605000      0
lc207          3.000000       588.286321     588.286321     0.000000       27.294000      0
lc208          3.000000       588.323801     588.323801     0.000000       30.423000      0
lr101          19.000000      1650.799240    1650.799240    0.000000       2.946000       0
lr102          17.000000      1505.900269    1505.900269    0.000000       4.039000       0
lr103          13.000000      1315.571543    1315.571543    0.000000       5.832000       0
lr104          9.000000       1013.989457    1013.989457    0.000000       8.140000       0
lr105          14.000000      1377.111018    1377.111018    0.000000       3.492000       0
lr106          12.000000      1252.616654    1252.616654    0.000000       4.313000       0
lr107          10.000000      1111.313176    1111.313176    0.000000       5.830000       0
lr108          9.000000       968.966019     968.966019     0.000000       6.914000       0
lr109          11.333333      1217.172543    1217.172543    0.000000       4.368000       0
lr110          11.000000      1166.305787    1166.305787    0.000000       5.456000       0
lr111          10.666667      1123.977451    1123.977451    0.000000       6.265000       0
lr112          10.333333      1037.961229    1037.961229    0.000000       8.393000       0
lr201          4.000000       1253.233969    1253.233969    0.000000       13.543000      0
lr202          5.000000       1278.674246    1278.674246    0.000000       20.526000      0
lr203          3.666667       1079.706122    1079.706122    0.000000       42.620000      0
lr204          2.333333       906.572659     906.572659     0.000000       65.826000      0
lr205          3.666667       1108.925808    1108.925808    0.000000       29.022000      0
lr206          3.333333       952.280898     952.280898     0.000000       41.322000      0
lr207          3.666667       1054.982131    1054.982131    0.000000       62.883000      0
lr208          2.333333       796.572650     796.572650     0.000000       192.320000     0
lr209          4.000000       1023.182399    1023.182399    0.000000       38.208000      0
lr210          3.333333       1021.737006    1021.737006    0.000000       40.183000      0
lr211          3.000000       916.412834     916.412834     0.000000       73.941000      0
lrc101         15.000000      1703.214515    1703.214515    0.000000       5.648000       0
lrc102         13.000000      1563.550455    1563.550455    0.000000       6.306000       0
lrc103         11.000000      1258.737118    1258.737118    0.000000       7.718000       0
lrc104         10.000000      1128.682349    1128.682349    0.000000       9.219000       0
lrc105         13.333333      1648.218128    1648.218128    0.000000       5.475000       0
lrc106         11.000000      1425.528599    1425.528599    0.000000       5.915000       0
lrc107         11.333333      1245.744353    1245.744353    0.000000       7.175000       0
lrc108         10.333333      1165.156441    1165.156441    0.000000       8.430000       0
lrc201         5.000000       1468.145926    1468.145926    0.000000       14.429000      0
lrc202         4.000000       1393.684454    1393.684454    0.000000       25.543000      0
lrc203         4.000000       1107.512491    1107.512491    0.000000       34.886000      0
lrc204         4.000000       941.272531     941.272531     0.000000       57.799000      0
lrc205         4.333333       1315.773958    1315.773958    0.000000       20.327000      0
lrc206         3.666667       1176.586026    1176.586026    0.000000       29.759000      0
lrc207         4.000000       1161.763616    1161.763616    0.000000       34.047000      0
lrc208         3.666667       912.146707     912.146707     0.000000       57.581000      0
